country,UN_region,year,Percapita_GDP per,carbon,populations
Senegal,Africa,2016,"$1,079.27 ",0.3,13.73
Serbia,Northern/Eastern Europe,2016,"$6,426.18 ",1.66,9.55
Sierra Leone,Africa,2016,$499.89 ,0.07,5.98
Singapore,Asia-Pacific,2016,"$53,122.40 ",5.91,5.3
Slovakia,European Union,2016,"$18,103.10 ",2.82,5.45
Slovenia,European Union,2016,"$25,040.50 ",4.27,2.07
Solomon Islands,Asia-Pacific,2016,"$1,647.86 ",0,0.55
Somalia,Africa,2016,Not Reported,0.07,10.2
South Africa,Africa,2016,"$8,089.87 ",2.34,52.39
Spain,European Union,2016,"$32,008.70 ",2.22,46.76
Sri Lanka,Asia-Pacific,2016,"$2,880.03 ",0.52,21.1
Suriname,Latin America,2016,"$8,190.70 ",3.01,0.54
Swaziland,Africa,2016,"$4,657.48 ",0.67,1.23
Sweden,European Union,2016,"$59,381.90 ",3.88,9.51
Switzerland,Northern/Eastern Europe,2016,"$88,506.20 ",4.26,8
Syrian Arab Republic,Middle East/Central Asia,2016,Not Reported,0.81,21.89
Tajikistan,Middle East/Central Asia,2016,$836.17 ,0.13,8.01
"Tanzania, United Republic of",Africa,2016,$765.33 ,0.17,47.78
Thailand,Asia-Pacific,2016,"$5,479.29 ",1.54,66.78
Timor-Leste,Asia-Pacific,2016,"$5,167.86 ",0.06,1.11
Togo,Africa,2016,$580.86 ,0.31,6.64
Tonga,Asia-Pacific,2016,"$4,330.90 ",0.88,0.1
Trinidad and Tobago,Latin America,2016,"$18,310.80 ",6.89,1.34
Tunisia,Africa,2016,"$4,305.07 ",1.11,10.88
Turkey,Middle East/Central Asia,2016,"$10,437.70 ",1.92,74
Turkmenistan,Middle East/Central Asia,2016,"$5,290.14 ",4.13,5.17
Uganda,Africa,2016,$601.35 ,0.08,36.35
Ukraine,Northern/Eastern Europe,2016,"$3,589.63 ",1.92,45.53
United Kingdom,European Union,2016,"$40,980.50 ",3.14,63.03
United Arab Emirates,Middle East/Central Asia,2016,"$40,817.40 ",6.37,9.206
United States of America,North America,2016,"$49,725.00 ",5.9,317.5
Uruguay,Latin America,2016,"$14,238.10 ",0.98,3.4
Uzbekistan,Middle East/Central Asia,2016,"$1,560.85 ",1.41,28.54
"Venezuela, Bolivarian Republic of",Latin America,2016,"$10,237.80 ",2.13,29.96
Viet Nam,Asia-Pacific,2016,"$1,532.31 ",0.79,90.8
Wallis and Futuna Islands,Asia-Pacific,2016,Not Reported,Not Reported,0.01
Yemen,Middle East/Central Asia,2016,"$1,302.30 ",0.42,23.85
Zambia,Africa,2016,"$1,740.64 ",0.24,14.08
Zimbabwe,Africa,2016,$865.91 ,0.53,13.72
